,Country,Region_x,Population (millions),HDI,GDP per Capita,Total Ecological Footprint,Total Biocapacity,Biocapacity Deficit or Reserve,Earths Required,Countries Required,Region_y,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity
11,Belarus,Northern/Eastern Europe,9.4,0.8,"$6,300.45",5.09,3.64,-1.45,2.94,1.4,Central and Eastern Europe,61,5.8020000000000005,1.1306200000000002,1.04993,0.6310399999999999,0.29091,0.17457,0.13942000000000002
12,Belgium,European Union,11.06,0.89,"$48,053.30",7.44,1.19,-6.25,4.3,6.27,Western Europe,18,6.928999999999999,1.42539,1.05249,0.8195899999999999,0.51354,0.26248,0.2424
13,Benin,Africa,10.05,0.48,$746.83,1.41,0.88,-0.53,0.81,1.61,Sub-Saharan Africa,153,3.484,0.39499,0.10419,0.21028000000000002,0.39747,0.06681000000000001,0.2018
14,Bhutan,Asia-Pacific,0.74,0.59,"$2,395.00",4.84,5.27,0.43,2.8,0.92,Southern Asia,84,5.196000000000001,0.8527,0.9083600000000001,0.49759,0.46074,0.1616,0.48546000000000006
15,Bolivia,Latin America,10.5,0.65,"$2,253.09",2.96,16.73,13.77,1.71,0.18,Latin America and Caribbean,59,5.822,0.79422,0.8377899999999999,0.4697,0.50961,0.07746,0.21698
16,Bosnia and Herzegovina,Northern/Eastern Europe,3.83,0.73,"$4,708.85",3.12,1.63,-1.49,1.8,1.91,Central and Eastern Europe,87,5.162999999999999,0.9338299999999999,0.64367,0.7076600000000001,0.09511,0.0,0.29889
17,Botswana,Africa,2.0,0.69,"$7,743.50",3.83,3.47,-0.35,2.21,1.1,Sub-Saharan Africa,137,3.9739999999999998,1.09426,0.89186,0.34752,0.44088999999999995,0.10769000000000001,0.12425
18,Brazil,Latin America,198.66,0.75,"$13,237.60",3.11,9.08,5.97,1.8,0.34,Latin America and Caribbean,17,6.952000000000001,1.08754,1.03938,0.61415,0.40425,0.14165999999999998,0.15775999999999998
19,Bulgaria,European Union,7.28,0.78,"$7,615.28",3.32,2.86,-0.46,1.92,1.16,Central and Eastern Europe,129,4.217,1.11306,0.92542,0.67806,0.21219000000000002,0.00615,0.12793
20,Burkina Faso,Africa,16.46,0.39,$671.07,1.21,0.98,-0.22,0.7,1.23,Sub-Saharan Africa,145,3.739,0.31995,0.63054,0.21297,0.3337,0.12533,0.24353000000000002
21,Burundi,Africa,9.85,0.39,$276.69,0.8,0.32,-0.48,0.46,2.48,Sub-Saharan Africa,157,2.905,0.06831,0.23442,0.15747,0.0432,0.09419,0.2029
22,Cambodia,Asia-Pacific,14.86,0.55,$877.64,1.21,1.09,-0.11,0.7,1.11,Southeastern Asia,140,3.907,0.55604,0.5375,0.42494,0.5885199999999999,0.08092,0.40339
23,Cameroon,Africa,21.7,0.5,"$1,271.21",1.17,1.69,0.52,0.68,0.69,Sub-Saharan Africa,114,4.513,0.5249699999999999,0.62542,0.12697999999999998,0.42736,0.06126,0.2268
24,Canada,North America,34.84,0.91,"$52,145.40",8.17,16.01,7.83,4.72,0.51,North America,6,7.404,1.44015,1.0961,0.8276,0.5737,0.31329,0.44833999999999996
25,Chad,Africa,12.45,0.39,"$1,161.22",1.46,2.03,0.57,0.84,0.72,Sub-Saharan Africa,144,3.763,0.42213999999999996,0.63178,0.038239999999999996,0.12807000000000002,0.04952,0.18667
26,Chile,Latin America,17.46,0.83,"$14,525.80",4.36,3.63,-0.73,2.52,1.2,Latin America and Caribbean,24,6.705,1.2167,0.9058700000000001,0.8188300000000001,0.37789,0.11450999999999999,0.31595
27,China,Asia-Pacific,1408.04,0.72,"$5,560.94",3.38,0.94,-2.44,1.95,3.59,Eastern Asia,83,5.245,1.0278,0.79381,0.73561,0.44011999999999996,0.02745,0.049589999999999995
28,Colombia,Latin America,47.7,0.72,"$7,305.22",1.87,3.6,1.72,1.08,0.52,Latin America and Caribbean,31,6.481,1.0303200000000001,1.02169,0.59659,0.44735,0.053989999999999996,0.15625999999999998
29,Comoros,Africa,0.72,0.5,$860.24,1.03,0.32,-0.7,0.59,3.17,Sub-Saharan Africa,138,3.9560000000000004,0.27509,0.60323,0.29980999999999997,0.15412,0.18437,0.1827
30,Costa Rica,Latin America,4.8,0.76,"$8,979.96",2.84,1.53,-1.31,1.64,1.86,Latin America and Caribbean,14,7.087000000000001,1.06879,1.02152,0.76146,0.55225,0.10547000000000001,0.22553
31,Croatia,Northern/Eastern Europe,4.31,0.82,"$14,522.80",3.92,2.8,-1.12,2.27,1.4,Central and Eastern Europe,74,5.4879999999999995,1.18649,0.6080899999999999,0.70524,0.23906999999999998,0.04002,0.18434
32,Cyprus,European Union,1.13,0.85,"$31,454.70",4.21,0.34,-3.87,2.43,12.35,Western Europe,69,5.546,1.31857,0.70697,0.8488,0.29507,0.05227999999999999,0.27906
33,Czech Republic,European Union,10.66,0.87,"$21,676.30",5.19,2.46,-2.73,3.0,2.11,Central and Eastern Europe,27,6.596,1.30915,1.00793,0.76376,0.41418,0.03986,0.09929
34,Denmark,European Union,5.6,0.92,"$61,413.60",5.51,4.78,-0.73,3.18,1.15,Western Europe,1,7.526,1.4417799999999998,1.16374,0.79504,0.5794100000000001,0.44453000000000004,0.36171
35,Dominican Republic,Latin America,10.28,0.71,"$6,085.89",1.53,0.56,-0.97,0.88,2.74,Latin America and Caribbean,89,5.155,1.02787,0.9949600000000001,0.5766899999999999,0.52259,0.12372000000000001,0.21286
36,Ecuador,Latin America,15.49,0.73,"$5,192.88",2.17,2.2,0.03,1.25,0.99,Latin America and Caribbean,51,5.976,0.97306,0.85974,0.68613,0.4027,0.18037,0.10074
37,Egypt,Africa,80.72,0.69,"$2,930.33",2.15,0.56,-1.59,1.24,3.86,Middle East and Northern Africa,120,4.362,0.95395,0.49813,0.5211600000000001,0.18847,0.10393,0.12705999999999998
38,El Salvador,Latin America,6.3,0.66,"$3,696.33",2.07,0.61,-1.46,1.2,3.37,Latin America and Caribbean,46,6.068,0.8737,0.80975,0.596,0.37269,0.10613,0.08877
39,Estonia,European Union,1.29,0.85,"$17,304.40",6.86,10.53,3.67,3.96,0.65,Central and Eastern Europe,72,5.517,1.2796399999999999,1.0516299999999998,0.68098,0.41511000000000003,0.18519000000000002,0.08423
40,Ethiopia,Africa,91.73,0.43,$379.38,1.02,0.58,-0.44,0.59,1.75,Sub-Saharan Africa,115,4.508,0.29283000000000003,0.37932,0.34578000000000003,0.36703,0.1717,0.29522
41,Finland,European Union,5.41,0.88,"$50,960.20",5.87,13.44,7.57,3.39,0.44,Western Europe,5,7.412999999999999,1.40598,1.1346399999999999,0.81091,0.57104,0.41003999999999996,0.25492
42,France,European Union,63.98,0.89,"$45,430.30",5.14,3.11,-2.04,2.97,1.66,Western Europe,32,6.478,1.39488,1.00508,0.83795,0.46562,0.17808,0.1216
43,Gabon,Africa,1.63,0.67,"$11,989.00",2.02,26.31,24.29,1.16,0.08,Sub-Saharan Africa,134,4.121,1.15851,0.72368,0.3494,0.28098,0.09314,0.062439999999999996
44,Georgia,Middle East/Central Asia,4.36,0.75,"$3,710.70",1.58,1.17,-0.41,0.91,1.35,Central and Eastern Europe,126,4.252,0.8379200000000001,0.19249000000000002,0.64035,0.32461,0.3188,0.06786
45,Germany,European Union,82.8,0.91,"$46,822.40",5.3,2.27,-3.02,3.06,2.33,Western Europe,16,6.994,1.44787,1.09774,0.81487,0.53466,0.28551,0.30451999999999996
46,Ghana,Africa,25.37,0.57,"$1,627.90",1.97,1.35,-0.62,1.14,1.46,Sub-Saharan Africa,124,4.276,0.63107,0.49353,0.29681,0.40973000000000004,0.0326,0.21203000000000002
